status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,credit_mix_score,installment_amount,age_bucket
< 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3905,< 100 DM,1 to < 4 years,2,male : single,none,2,none,36,none,rent,2,skilled employee/ official,2,none,yes,1,0.05555555401234573,354.9999677272757,35-45
< 0 DM,12,existing credits paid back duly till now,car (used),3386,< 100 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,35,none,for free,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.028571427755102068,282.1666431527797,25-35
< 0 DM,6,existing credits paid back duly till now,domestic appliances,343,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,none,27,none,own,1,skilled employee/ official,1,none,yes,1,0.037037035665294975,57.16665713889048,25-35
no checking account,18,existing credits paid back duly till now,radio/television,4594,< 100 DM,< 1 year,3,male : single,none,2,real estate,32,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.031249999023437534,255.22220804321066,25-35
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,3620,< 100 DM,1 to < 4 years,1,male : single,guarantor,2,car,37,none,own,1,skilled employee/ official,2,none,yes,1,0.027027026296566857,100.55555276234577,35-45
< 0 DM,15,existing credits paid back duly till now,car (new),1721,< 100 DM,< 1 year,2,male : single,none,3,none,36,none,own,1,skilled employee/ official,1,none,yes,1,0.027777777006172864,114.73332568444496,35-45
0 to < 200 DM,12,existing credits paid back duly till now,furniture/equipment,3017,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,none,34,none,rent,1,management/ self-employed/highly qualified employee,1,none,yes,1,0.02941176384083048,251.41664571527954,25-35
0 to < 200 DM,12,existing credits paid back duly till now,retraining,754,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,38,none,own,2,skilled employee/ official,1,none,yes,1,0.05263157756232691,62.83332809722266,35-45
no checking account,18,existing credits paid back duly till now,business,1950,< 100 DM,4 to < 7 years,4,male : single,none,1,real estate,34,stores,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.05882352768166096,108.33332731481514,25-35
< 0 DM,24,existing credits paid back duly till now,car (used),2924,< 100 DM,1 to < 4 years,3,male : single,guarantor,4,savings agreement/life insurance,63,bank,own,1,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.015873015621063243,121.83332825694465,55-65
< 0 DM,24,delay in paying off in the past,radio/television,1659,< 100 DM,< 1 year,4,female : divorced/separated/married,none,2,real estate,29,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,0,0.034482757431629055,69.12499711979179,25-35
no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,>= 7 years,3,male : single,none,3,real estate,32,bank,own,2,skilled employee/ official,2,none,yes,1,0.06249999804687507,150.79166352517367,25-35
no checking account,33,delay in paying off in the past,business,2764,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,real estate,26,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.07692307396449716,83.75757321946749,25-35
no checking account,24,delay in paying off in the past,car (used),4679,< 100 DM,4 to < 7 years,3,male : single,none,3,real estate,35,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,0.057142855510204135,194.95832521006977,25-35
0 to < 200 DM,24,existing credits paid back duly till now,radio/television,3092,100 to < 500 DM,< 1 year,3,male : married/widowed,none,2,real estate,22,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.045454543388429844,128.833327965278,<25
< 0 DM,6,existing credits paid back duly till now,education,448,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,23,none,own,1,skilled employee/ official,1,none,yes,0,0.04347825897920613,74.6666542222243,<25
< 0 DM,9,existing credits paid back duly till now,car (new),654,< 100 DM,1 to < 4 years,4,male : single,none,3,real estate,28,none,own,1,unskilled - resident,1,none,yes,0,0.035714284438775556,72.66665859259349,25-35
no checking account,6,existing credits paid back duly till now,retraining,1238,unknown/ no savings account,unemployed,4,male : single,none,4,car,36,none,own,1,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.027777777006172864,206.33329894445018,35-45
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1245,< 100 DM,1 to < 4 years,4,male : married/widowed,none,2,real estate,33,none,own,1,skilled employee/ official,1,none,yes,0,0.030303029384756687,69.16666282407428,25-35
< 0 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3114,< 100 DM,< 1 year,1,female : divorced/separated/married,none,4,car,26,none,rent,1,skilled employee/ official,1,none,yes,0,0.03846153698224858,172.99999038888942,25-35
no checking account,39,existing credits paid back duly till now,car (used),2569,500 to < 1000 DM,1 to < 4 years,4,male : single,none,4,real estate,24,none,own,1,skilled employee/ official,1,none,yes,1,0.041666664930555625,65.87179318277454,<25
>= 200 DM,24,existing credits paid back duly till now,radio/television,5152,< 100 DM,4 to < 7 years,4,male : single,none,2,real estate,25,bank,own,1,skilled employee/ official,1,none,yes,1,0.03999999840000006,214.6666577222226,<25
0 to < 200 DM,12,existing credits paid back duly till now,business,1037,100 to < 500 DM,4 to < 7 years,3,male : single,none,4,none,39,none,own,1,unskilled - resident,1,none,yes,1,0.025641024983563465,86.41665946527839,35-45
< 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1478,< 100 DM,>= 7 years,4,male : single,none,4,real estate,44,none,own,2,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.04545454442148763,98.5333267644449,35-45
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),radio/television,3573,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,1,none,23,none,own,1,unskilled - resident,1,none,yes,1,0.04347825897920613,297.74997518750206,<25
0 to < 200 DM,24,existing credits paid back duly till now,car (new),1201,< 100 DM,< 1 year,4,male : single,none,1,car,26,none,own,1,skilled employee/ official,1,none,yes,1,0.03846153698224858,50.04166458159731,25-35
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,3622,>= 1000 DM,>= 7 years,4,female : divorced/separated/married,none,4,car,57,none,rent,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.035087718682671604,120.73332930888903,55-65
no checking account,15,delay in paying off in the past,furniture/equipment,960,>= 1000 DM,4 to < 7 years,3,female : divorced/separated/married,none,2,car,30,none,own,2,skilled employee/ official,1,none,yes,1,0.06666666444444451,63.99999573333362,25-35
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1163,500 to < 1000 DM,1 to < 4 years,4,male : single,none,4,none,44,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.022727272210743815,96.91665859027846,35-45
0 to < 200 DM,6,delay in paying off in the past,car (new),1209,< 100 DM,unemployed,4,male : single,none,4,car,47,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.021276595291987336,201.49996641667227,45-55
no checking account,12,existing credits paid back duly till now,radio/television,3077,< 100 DM,1 to < 4 years,2,male : single,none,4,real estate,52,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.019230768860946754,256.41664529861293,45-55
no checking account,24,existing credits paid back duly till now,car (new),3757,< 100 DM,>= 7 years,4,female : divorced/separated/married,co-applicant,4,savings agreement/life insurance,62,none,for free,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.01612903199791884,156.54166014409748,55-65
no checking account,10,existing credits paid back duly till now,car (new),1418,100 to < 500 DM,1 to < 4 years,3,male : single,none,2,none,35,none,rent,1,unskilled - resident,1,none,no,1,0.028571427755102068,141.79998582000144,25-35
no checking account,6,existing credits paid back duly till now,car (new),3518,< 100 DM,1 to < 4 years,2,male : single,guarantor,3,car,26,none,rent,1,skilled employee/ official,1,none,yes,1,0.03846153698224858,586.3332356111274,25-35
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1934,< 100 DM,>= 7 years,2,male : single,none,2,savings agreement/life insurance,26,none,own,2,skilled employee/ official,1,none,yes,1,0.07692307396449716,161.16665323611224,25-35
0 to < 200 DM,27,no credits taken/ all credits paid back duly,business,8318,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,4,savings agreement/life insurance,42,none,for free,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.0476190464852608,308.0740626639236,35-45
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1237,100 to < 500 DM,1 to < 4 years,1,female : divorced/separated/married,none,1,car,27,none,own,2,skilled employee/ official,1,none,yes,1,0.07407407133058995,206.16663230556128,25-35
0 to < 200 DM,6,existing credits paid back duly till now,radio/television,368,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,38,none,own,1,skilled employee/ official,1,none,yes,1,0.026315788781163457,61.33332311111281,35-45
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2122,< 100 DM,1 to < 4 years,3,male : single,none,2,none,39,none,rent,2,unskilled - resident,2,none,no,1,0.05128204996712693,176.83331859722347,35-45
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2996,unknown/ no savings account,1 to < 4 years,2,male : married/widowed,none,4,real estate,20,none,own,1,skilled employee/ official,1,none,yes,0,0.04999999750000012,124.83332813194465,<25
0 to < 200 DM,36,existing credits paid back duly till now,furniture/equipment,9034,100 to < 500 DM,< 1 year,4,male : single,co-applicant,1,savings agreement/life insurance,29,none,rent,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.034482757431629055,250.94443747376565,25-35
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,1585,< 100 DM,4 to < 7 years,4,male : single,none,3,car,40,none,own,2,skilled employee/ official,1,none,yes,1,0.04999999875000003,66.04166391493067,35-45
0 to < 200 DM,18,existing credits paid back duly till now,radio/television,1301,< 100 DM,>= 7 years,4,male : married/widowed,guarantor,2,none,32,none,own,1,unskilled - resident,1,none,yes,1,0.031249999023437534,72.2777737623459,25-35
>= 200 DM,6,critical account/ other credits existing (not at this bank),car (new),1323,100 to < 500 DM,>= 7 years,2,male : divorced/separated,none,4,real estate,28,none,own,2,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.07142856887755111,220.49996325000612,25-35
< 0 DM,24,existing credits paid back duly till now,car (new),3123,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,car,27,none,own,1,skilled employee/ official,1,none,yes,0,0.037037035665294975,130.1249945781252,25-35
< 0 DM,36,existing credits paid back duly till now,car (used),5493,< 100 DM,>= 7 years,2,male : single,none,4,savings agreement/life insurance,42,none,for free,1,skilled employee/ official,2,none,yes,1,0.0238095232426304,152.58332909490753,35-45
>= 200 DM,9,existing credits paid back duly till now,radio/television,1126,100 to < 500 DM,>= 7 years,2,male : divorced/separated,none,4,none,49,none,own,1,skilled employee/ official,1,none,yes,1,0.020408162848813003,125.1110972098781,45-55
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1216,100 to < 500 DM,< 1 year,4,male : single,none,4,savings agreement/life insurance,38,bank,own,2,skilled employee/ official,2,none,yes,0,0.05263157756232691,50.66666455555564,35-45
< 0 DM,24,existing credits paid back duly till now,car (new),1207,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,24,none,rent,1,skilled employee/ official,1,none,yes,0,0.041666664930555625,50.29166457118064,<25
no checking account,10,existing credits paid back duly till now,car (new),1309,unknown/ no savings account,1 to < 4 years,4,male : single,guarantor,4,car,27,none,own,1,unskilled - resident,1,none,yes,0,0.037037035665294975,130.89998691000133,25-35
>= 200 DM,15,critical account/ other credits existing (not at this bank),car (used),2360,500 to < 1000 DM,1 to < 4 years,2,male : single,none,2,real estate,36,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.027777777006172864,157.33332284444515,35-45
0 to < 200 DM,15,all credits at this bank paid back duly,car (new),6850,100 to < 500 DM,unemployed,1,male : single,none,2,car,34,none,own,1,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,0,0.02941176384083048,456.66663622222427,25-35
no checking account,24,existing credits paid back duly till now,radio/television,1413,< 100 DM,1 to < 4 years,4,male : married/widowed,none,2,car,28,none,own,1,skilled employee/ official,1,none,yes,1,0.035714284438775556,58.8749975468751,25-35
no checking account,39,existing credits paid back duly till now,car (used),8588,100 to < 500 DM,>= 7 years,4,male : single,none,2,real estate,45,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.022222221728395074,220.20512255884302,35-45
< 0 DM,12,existing credits paid back duly till now,car (new),759,< 100 DM,4 to < 7 years,4,male : single,none,2,none,26,none,own,1,skilled employee/ official,1,none,yes,0,0.03846153698224858,63.249994729167106,25-35
no checking account,36,existing credits paid back duly till now,car (used),4686,< 100 DM,1 to < 4 years,2,male : single,none,2,savings agreement/life insurance,32,none,for free,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.031249999023437534,130.16666305092605,25-35
>= 200 DM,15,existing credits paid back duly till now,business,2687,< 100 DM,4 to < 7 years,2,male : single,none,4,car,26,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.03846153698224858,179.1333213911119,25-35
0 to < 200 DM,12,delay in paying off in the past,radio/television,585,< 100 DM,1 to < 4 years,4,male : married/widowed,co-applicant,4,none,20,none,rent,2,skilled employee/ official,1,none,yes,1,0.09999999500000024,48.749995937500344,<25
no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,< 1 year,4,male : single,none,1,car,54,none,own,1,skilled employee/ official,1,none,yes,1,0.018518518175582997,93.95832941840294,45-55
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),609,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,none,3,car,37,none,own,2,skilled employee/ official,1,none,no,1,0.054054052593133714,101.49998308333615,35-45
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1361,< 100 DM,< 1 year,2,male : single,none,4,none,40,none,own,1,unskilled - resident,2,none,no,1,0.024999999375000016,226.83329552778406,35-45
no checking account,36,critical account/ other credits existing (not at this bank),furniture/equipment,7127,< 100 DM,< 1 year,2,female : divorced/separated/married,none,4,car,23,none,rent,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.08695651795841226,197.972216722994,<25
< 0 DM,6,existing credits paid back duly till now,car (new),1203,100 to < 500 DM,>= 7 years,3,male : single,none,2,car,43,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.023255813412655504,200.4999665833389,35-45
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,700,unknown/ no savings account,>= 7 years,4,male : single,none,4,savings agreement/life insurance,36,none,for free,2,skilled employee/ official,1,none,yes,1,0.05555555401234573,116.66664722222546,35-45
no checking account,24,critical account/ other credits existing (not at this bank),repairs,5507,< 100 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,44,none,for free,2,skilled employee/ official,1,none,yes,1,0.04545454442148763,229.45832377256983,35-45
< 0 DM,18,existing credits paid back duly till now,radio/television,3190,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,none,24,none,own,1,skilled employee/ official,1,none,yes,0,0.041666664930555625,177.22221237654375,<25
< 0 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,< 100 DM,1 to < 4 years,3,male : single,none,4,savings agreement/life insurance,53,none,for free,2,skilled employee/ official,2,none,yes,0,0.03773584834460664,148.3124969101563,45-55
no checking account,24,existing credits paid back duly till now,car (used),3488,100 to < 500 DM,4 to < 7 years,3,female : divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee/ official,1,none,yes,1,0.04347825897920613,145.333327277778,<25
0 to < 200 DM,18,existing credits paid back duly till now,radio/television,1113,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,guarantor,4,none,26,none,own,1,unskilled - resident,2,none,yes,1,0.03846153698224858,61.833329898148335,25-35
0 to < 200 DM,26,existing credits paid back duly till now,car (used),7966,< 100 DM,< 1 year,2,male : single,none,3,real estate,30,none,own,2,skilled employee/ official,1,none,yes,1,0.06666666444444451,306.38460360059213,25-35
no checking account,15,critical account/ other credits existing (not at this bank),education,1532,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,none,3,real estate,31,none,own,1,skilled employee/ official,1,none,yes,1,0.032258063475546335,102.1333265244449,25-35
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1503,< 100 DM,4 to < 7 years,2,male : single,none,1,none,42,none,own,2,unskilled - resident,2,none,yes,1,0.0476190464852608,375.74990606252345,35-45
< 0 DM,36,existing credits paid back duly till now,radio/television,2302,< 100 DM,1 to < 4 years,4,male : divorced/separated,none,4,real estate,31,none,rent,1,skilled employee/ official,1,none,yes,0,0.032258063475546335,63.94444266820993,25-35
< 0 DM,6,existing credits paid back duly till now,car (new),662,< 100 DM,< 1 year,3,male : single,none,4,none,41,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,1,0.024390243307555043,110.33331494444751,35-45
0 to < 200 DM,36,existing credits paid back duly till now,education,2273,< 100 DM,4 to < 7 years,3,male : single,none,1,real estate,32,none,own,2,skilled employee/ official,2,none,yes,1,0.06249999804687507,63.13888713503092,25-35
0 to < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 to < 500 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,28,none,rent,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.07142856887755111,175.39998830666747,25-35
no checking account,12,delay in paying off in the past,car (used),1503,< 100 DM,1 to < 4 years,4,male : married/widowed,none,4,none,41,none,rent,1,skilled employee/ official,1,none,yes,1,0.024390243307555043,125.24998956250087,35-45
no checking account,24,existing credits paid back duly till now,radio/television,1311,100 to < 500 DM,4 to < 7 years,4,male : married/widowed,none,3,car,26,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.03846153698224858,54.62499772395842,25-35
no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/ no savings account,< 1 year,4,male : single,none,2,real estate,25,none,own,2,skilled employee/ official,1,none,yes,1,0.07999999680000013,129.37499460937522,<25
>= 200 DM,21,critical account/ other credits existing (not at this bank),education,2319,< 100 DM,< 1 year,2,male : divorced/separated,none,1,real estate,33,none,rent,1,skilled employee/ official,1,none,yes,0,0.030303029384756687,110.42856617006827,25-35
< 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,female : divorced/separated/married,none,3,car,75,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.013333333155555559,228.99996183333968,65+
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,< 100 DM,>= 7 years,3,female : divorced/separated/married,none,4,car,37,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.027027026296566857,200.66665551851912,35-45
< 0 DM,48,existing credits paid back duly till now,car (new),7763,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,42,bank,for free,1,management/ self-employed/highly qualified employee,1,none,yes,0,0.0238095232426304,161.7291632973091,35-45
>= 200 DM,18,existing credits paid back duly till now,furniture/equipment,3049,< 100 DM,< 1 year,1,female : divorced/separated/married,none,1,car,45,stores,own,1,unskilled - resident,1,none,yes,1,0.022222221728395074,169.38887947839558,35-45
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1534,< 100 DM,< 1 year,1,male : married/widowed,none,1,none,23,none,rent,1,skilled employee/ official,1,none,yes,0,0.04347825897920613,127.83332268055645,<25
no checking account,24,delay in paying off in the past,car (new),2032,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,60,none,for free,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.03333333277777779,84.66666313888904,55-65
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,31,none,own,1,skilled employee/ official,1,none,yes,0,0.032258063475546335,211.66665961111133,25-35
>= 200 DM,18,existing credits paid back duly till now,furniture/equipment,2864,< 100 DM,1 to < 4 years,2,male : single,none,1,none,34,none,own,1,unskilled - resident,2,none,yes,0,0.02941176384083048,159.11110227160543,25-35
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,< 100 DM,>= 7 years,4,male : single,none,4,none,61,none,own,2,unskilled - resident,1,none,yes,1,0.03278688470841173,104.5833246180563,55-65
< 0 DM,24,delay in paying off in the past,car (new),1333,< 100 DM,unemployed,4,male : single,none,2,none,43,none,for free,2,skilled employee/ official,2,none,yes,0,0.04651162682531101,55.54166435243065,35-45
no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,real estate,37,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.027027026296566857,84.24999648958348,35-45
no checking account,24,existing credits paid back duly till now,radio/television,1552,< 100 DM,4 to < 7 years,3,male : single,none,1,real estate,32,bank,own,1,skilled employee/ official,2,none,yes,1,0.031249999023437534,64.66666397222234,25-35
< 0 DM,12,all credits at this bank paid back duly,radio/television,626,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,none,24,bank,own,1,unskilled - resident,1,none,yes,0,0.041666664930555625,52.16666231944481,<25
no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4 to < 7 years,2,male : single,none,1,savings agreement/life insurance,35,none,for free,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.057142855510204135,184.5416628220487,25-35
no checking account,12,critical account/ other credits existing (not at this bank),repairs,996,unknown/ no savings account,4 to < 7 years,4,female : divorced/separated/married,none,4,none,23,none,own,2,skilled employee/ official,1,none,yes,1,0.08695651795841226,82.99999308333392,<25
no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 to < 1000 DM,>= 7 years,2,male : single,none,4,car,45,bank,own,1,unskilled - resident,2,none,yes,1,0.022222221728395074,291.6666180555637,35-45
< 0 DM,48,existing credits paid back duly till now,radio/television,6999,< 100 DM,4 to < 7 years,1,male : married/widowed,guarantor,1,none,34,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.05882352768166096,145.81249696223966,25-35
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 to < 500 DM,< 1 year,4,male : single,none,1,real estate,27,none,own,1,skilled employee/ official,1,none,yes,1,0.037037035665294975,166.2499861458345,25-35
0 to < 200 DM,9,existing credits paid back duly till now,education,1199,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,none,4,car,67,none,own,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.0298507458231232,133.22220741975474,65+
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1331,< 100 DM,< 1 year,2,male : single,none,1,real estate,22,stores,own,1,skilled employee/ official,1,none,yes,0,0.045454543388429844,110.9166574236119,<25
0 to < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 to < 500 DM,< 1 year,3,female : divorced/separated/married,none,3,real estate,28,none,own,2,skilled employee/ official,1,none,yes,0,0.07142856887755111,126.55554852469174,25-35
no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,1 to < 4 years,1,female : divorced/separated/married,none,4,car,29,bank,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.06896551486325811,238.23808389342457,25-35
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,< 100 DM,4 to < 7 years,3,male : single,none,4,real estate,27,bank,own,1,skilled employee/ official,1,none,yes,0,0.037037035665294975,147.99999383333358,25-35
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,< 100 DM,< 1 year,2,male : single,none,2,none,31,none,own,2,unskilled - resident,1,none,yes,0,0.06451612695109267,107.11110516049415,25-35
< 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,>= 7 years,4,male : single,none,4,savings agreement/life insurance,49,bank,for free,1,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.020408162848813003,123.49999485416687,45-55
< 0 DM,24,all credits at this bank paid back duly,radio/television,1546,< 100 DM,4 to < 7 years,4,male : single,guarantor,4,real estate,24,bank,rent,1,unskilled - resident,1,none,yes,0,0.041666664930555625,64.416663982639,<25
>= 200 DM,6,delay in paying off in the past,radio/television,683,< 100 DM,< 1 year,2,female : divorced/separated/married,none,1,car,29,bank,own,1,skilled employee/ official,1,none,yes,1,0.034482757431629055,113.83331436111428,25-35
0 to < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1 to < 4 years,1,male : single,none,4,savings agreement/life insurance,37,none,for free,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.027027026296566857,344.13887932947557,35-45
0 to < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1 to < 4 years,4,male : single,none,2,car,37,bank,own,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.054054052593133714,196.33332515277812,35-45
0 to < 200 DM,24,delay in paying off in the past,radio/television,1553,100 to < 500 DM,4 to < 7 years,3,female : divorced/separated/married,none,2,car,23,none,rent,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.08695651795841226,64.70833063715288,<25
< 0 DM,12,existing credits paid back duly till now,car (new),1372,< 100 DM,4 to < 7 years,2,male : divorced/separated,none,3,real estate,36,none,own,1,skilled employee/ official,1,none,yes,0,0.027777777006172864,114.33332380555636,35-45
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,>= 1000 DM,>= 7 years,2,male : single,none,2,real estate,34,none,own,1,skilled employee/ official,1,none,yes,1,0.02941176384083048,107.4166621909724,25-35
0 to < 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4 to < 7 years,4,male : single,none,1,real estate,41,none,own,2,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.048780486615110086,82.89583160633684,35-45
< 0 DM,48,existing credits paid back duly till now,radio/television,6758,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,real estate,31,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.032258063475546335,140.79166373350702,25-35
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,none,23,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,0,0.04347825897920613,134.7499943854169,<25
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,< 100 DM,4 to < 7 years,3,male : single,co-applicant,2,real estate,38,none,own,1,skilled employee/ official,1,none,yes,1,0.026315788781163457,198.46666005111132,35-45
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,female : divorced/separated/married,none,4,car,26,none,rent,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.03846153698224858,226.37499056770872,25-35
< 0 DM,15,existing credits paid back duly till now,business,806,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,car,22,none,own,1,unskilled - resident,1,none,yes,1,0.045454543388429844,53.733329751111356,<25
0 to < 200 DM,9,existing credits paid back duly till now,radio/television,1082,< 100 DM,>= 7 years,4,male : single,none,4,real estate,27,none,own,2,unskilled - resident,1,none,yes,1,0.07407407133058995,120.22220886419902,25-35
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,< 100 DM,4 to < 7 years,2,female : divorced/separated/married,co-applicant,3,real estate,24,bank,own,2,skilled employee/ official,1,none,yes,1,0.08333332986111125,185.86665427555639,<25
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,2930,< 100 DM,4 to < 7 years,2,female : divorced/separated/married,none,1,none,27,none,own,1,skilled employee/ official,1,none,yes,1,0.037037035665294975,244.16664631944616,25-35
